age,worker,size,compartment,deposition.fraction
Adult,TRUE,0.001,AI1,0.0001359
Adult,TRUE,0.003,AI1,0.006714
Adult,TRUE,0.01,AI1,0.08229
Adult,TRUE,0.03,AI1,0.1525
Adult,TRUE,0.1,AI1,0.08688
Adult,TRUE,0.3,AI1,0.04458
Adult,TRUE,1,AI1,0.03198
Adult,TRUE,3,AI1,0.02314
Adult,TRUE,5,AI1,0.01596
Adult,TRUE,10,AI1,0.007104
Adult,TRUE,0.001,AI2,0.0002718
Adult,TRUE,0.003,AI2,0.01343
Adult,TRUE,0.01,AI2,0.1646
Adult,TRUE,0.03,AI2,0.3051
Adult,TRUE,0.1,AI2,0.1738
Adult,TRUE,0.3,AI2,0.08916
Adult,TRUE,1,AI2,0.06396
Adult,TRUE,3,AI2,0.04627
Adult,TRUE,5,AI2,0.03191
Adult,TRUE,10,AI2,0.01421
Adult,TRUE,0.001,AI3,4.53e-05
Adult,TRUE,0.003,AI3,0.002238
Adult,TRUE,0.01,AI3,0.02743
Adult,TRUE,0.03,AI3,0.05085
Adult,TRUE,0.1,AI3,0.02896
Adult,TRUE,0.3,AI3,0.01486
Adult,TRUE,1,AI3,0.01066
Adult,TRUE,3,AI3,0.007712
Adult,TRUE,5,AI3,0.005319
Adult,TRUE,10,AI3,0.002368
Adult,TRUE,0.001,bb1,0.02262
Adult,TRUE,0.003,bb1,0.0877
Adult,TRUE,0.01,bb1,0.1291
Adult,TRUE,0.03,bb1,0.07188
Adult,TRUE,0.1,bb1,0.03328
Adult,TRUE,0.3,bb1,0.01523
Adult,TRUE,1,bb1,0.008327
Adult,TRUE,3,bb1,0.00758
Adult,TRUE,5,bb1,0.006569
Adult,TRUE,10,bb1,0.004131
Adult,TRUE,0.001,bb2,0.02294
Adult,TRUE,0.003,bb2,0.08895
Adult,TRUE,0.01,bb2,0.1309
Adult,TRUE,0.03,bb2,0.0729
Adult,TRUE,0.1,bb2,0.03376
Adult,TRUE,0.3,bb2,0.01544
Adult,TRUE,1,bb2,0.008087
Adult,TRUE,3,bb2,0.005954
Adult,TRUE,5,bb2,0.004384
Adult,TRUE,10,bb2,0.002099
Adult,TRUE,0.001,bbseq,0.0003212
Adult,TRUE,0.003,bbseq,0.001245
Adult,TRUE,0.01,bbseq,0.001833
Adult,TRUE,0.03,bbseq,0.001021
Adult,TRUE,0.1,bbseq,0.0004726
Adult,TRUE,0.3,bbseq,0.0002162
Adult,TRUE,1,bbseq,0.0001157
Adult,TRUE,3,bbseq,9.541e-05
Adult,TRUE,5,bbseq,7.721e-05
Adult,TRUE,10,bbseq,4.392e-05
Adult,TRUE,0.001,BB1,0.03117
Adult,TRUE,0.003,BB1,0.0442
Adult,TRUE,0.01,BB1,0.02685
Adult,TRUE,0.03,BB1,0.01035
Adult,TRUE,0.1,BB1,0.004746
Adult,TRUE,0.3,BB1,0.00326
Adult,TRUE,1,BB1,0.006489
Adult,TRUE,3,BB1,0.01127
Adult,TRUE,5,BB1,0.01171
Adult,TRUE,10,BB1,0.009436
Adult,TRUE,0.001,BB2,0.03161
Adult,TRUE,0.003,BB2,0.04483
Adult,TRUE,0.01,BB2,0.02723
Adult,TRUE,0.03,BB2,0.01049
Adult,TRUE,0.1,BB2,0.004813
Adult,TRUE,0.3,BB2,0.003293
Adult,TRUE,1,BB2,0.005844
Adult,TRUE,3,BB2,0.00729
Adult,TRUE,5,BB2,0.005921
Adult,TRUE,10,BB2,0.003116
Adult,TRUE,0.001,BBseq,0.0004425
Adult,TRUE,0.003,BBseq,0.0006276
Adult,TRUE,0.01,BBseq,0.0003812
Adult,TRUE,0.03,BBseq,0.0001469
Adult,TRUE,0.1,BBseq,6.738e-05
Adult,TRUE,0.3,BBseq,4.619e-05
Adult,TRUE,1,BBseq,8.694e-05
Adult,TRUE,3,BBseq,0.0001308
Adult,TRUE,5,BBseq,0.0001243
Adult,TRUE,10,BBseq,8.848e-05
Adult,TRUE,0.001,ET2,0.439
Adult,TRUE,0.003,ET2,0.3494
