model,proposed.by,year,element,age,sex,intake,type,from,to,transfer.coefficient
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Plasma,ST0,184
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Plasma,Trabecular.Bone.Surface,19.4
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Plasma,Cortical.Bone.Surface,15.6
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Plasma,Urinary.Bladder.Content,4.48
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Plasma,Right.Colon.Contents,40.3
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,ST0,Plasma,61.4
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Red.Blood.Cell,Plasma,1000
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Urinary.Bladder.Contents,Urine,12
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Cartilage,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Liver,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Kidneys,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Stomach.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Small.Intestine.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Left.Colon.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Right.Colon.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Rectosigmoid.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Spleen,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Pancreas,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Heart.Wall,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Brain,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Skin,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Lung.tissue,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Other.1,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Other.2,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Adipose.Tissue,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Lung.Tissue,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Red.Marrow,Plasma,200
Biokinetic,Leggett,2013,Ba,20y,Male,All,All,Skeletal.Muscle,Plasma,1000
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Red.Blood.Cell,1.8
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Skeletal.Muscle,30
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Liver,19.5
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Kidneys,67.1
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Spleen,5.3
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Pancreas,1.77
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Skin,4.42
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Adipose.Tissue,8.83
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Brain,0.424
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Heart.Wall,14.1
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Lung.Tissue,4.42
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Red.Marrow,5.3
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Cartilage,3
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Trabecular.Bone.Surface,1.59
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Cortical.Bone.Surface,1.06
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Stomach.Wall,3.53
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Stomach.Contents,4.52
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Small.Intestine.Wall,35.3
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Small.Intestine.Contents,1.05
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Right.Colon.Wall,5.65
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Right.Colon.Contents,0.02
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Left.Colon.Wall,5.65
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Rectosigmoid.Wall,2.83
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Other.1,9.71
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Plasma,Other.2,0.00353
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Red.Blood.Cell,Plasma,0.257
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Skeletal.Muscle,Plasma,0.0751
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Liver,Plasma,2.14
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Liver,Small.Intestine.Contents,0.113
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Kidneys,Urinary.Bladder.Contents,1.68
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Kidneys,Plasma,31.9
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Spleen,Plasma,5.03
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Spleen,Liver,0.265
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Pancreas,Plasma,1.68
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Pancreas,Liver,0.0883
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Skin,Plasma,0.867
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Skin,Excreta,0.0159
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Adipose.Tissue,Plasma,1.77
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Brain,Plasma,0.0848
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Heart.Wall,Plasma,8.07
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Lung.Tissue,Plasma,1.47
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Red.Marrow,Plasma,0.706
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Cartilage,Plasma,0.2
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Trabecular.Bone.Surface,Plasma,0.212
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Cortical.Bone.Surface,Plasma,0.212
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Stomach.Wall,Plasma,4.16
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Stomach.Wall,Liver,0.219
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Small.Intestine.Wall,Plasma,9.87
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Small.Intestine.Wall,Liver,0.519
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Other.1,Plasma,0.762
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Other.2,Plasma,0.00141
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Stomach.Wall,Stomach.Contents,0.21
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Small.Intestine.Wall,Small.Intestine.Contents,0.21
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Right.Colon.Wall,Right.Colon.Contents,0.21
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Left.Colon.Wall,Left.Colon.Contents,0.21
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Rectosigmoid.Wall,Rectosigmoid.Contents,0.21
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Right.Colon.Wall,Plasma,6.86
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Left.Colon.Wall,Plasma,6.86
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Rectosigmoid.Wall,Plasma,6.86
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Right.Colon.Wall,Liver,0.361
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Left.Colon.Wall,Liver,0.361
Biokinetic,Leggett,2013,Cs,20y,Male,All,All,Rectosigmoid.Wall,Liver,0.361
HATM,ICRP.publ.100,2006,All,20y,Female,All,Liquids,Oesophagus.Fast,Stomach.Contents,17280
HATM,ICRP.publ.100,2006,All,20y,Female,All,Solids,Oesophagus.Fast,Stomach.Contents,10800
HATM,ICRP.publ.100,2006,All,20y,Female,All,Total.Diet,Oesophagus.Fast,Stomach.Contents,12343
HATM,ICRP.publ.100,2006,All,3mo,All,All,Liquids,Oesophagus.Slow,Stomach.Contents,2880
HATM,ICRP.publ.100,2006,All,3mo,All,All,Solids,Oesophagus.Slow,Stomach.Contents,NA
